TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220101222201,1,85,19,1,60,0,0
20220101222234,1,73,18,1,0,0,0
20220101222234,2,75,20,2,0,0,0
20220101222252,1,35,18,2,0,0,0
20220101222252,2,35,21,1,0,0,0
20220101222252,3,16,22,1,0,0,0
20220101222256,1,23,18,2,0,0,0
20220101222256,2,0,22,1,0,0,0
20220101222256,3,21,29,1,0,0,0
20220101222285,1,65,18,1,0,0,0
20220101222285,2,65,20,2,0,0,0
20220101222305,1,80,18,2,0,0,0
20220101222305,2,80,20,1,0,0,0
20220101222305,3,36,23,1,0,0,0
20220101222323,1,44,18,1,0,0,0
20220101222323,2,39,20,2,0,0,0
20220101222323,3,10,22,1,0,0,0
20220101222323,4,6,22,1,0,0,0
20220101222323,5,4,22,2,0,0,0
20220101222347,1,51,18,1,0,0,0
20220101222347,2,49,20,2,0,0,0
20220101222347,3,23,22,2,0,0,0
20220101222363,1,52,19,1,0,0,0
20220101222374,1,32,19,1,0,0,0
20220101222374,2,30,20,1,0,0,0
20220101222375,1,52,18,2,0,0,0
20220101222375,2,58,20,1,0,0,0
20220101222379,1,71,18,2,0,0,0
20220101222379,2,74,20,1,0,0,0
20220101222379,3,41,22,2,0,0,0
20220101222404,1,40,18,1,0,0,0
20220101222404,2,38,20,2,0,0,0
20220101222404,3,11,22,1,0,0,0
20220101222404,4,10,22,1,0,0,0
20220101222404,5,8,22,2,0,0,0
20220101222404,6,6,22,1,0,0,0
20220101222404,7,4,22,1,0,0,0
20220101222404,8,1,22,2,0,0,0
20220101222407,1,32,18,1,0,0,0
20220101222407,2,32,21,2,0,0,0
20220101222410,1,58,18,1,0,0,0
20220101222410,2,80,24,1,0,0,0
20220101222410,3,80,24,2,0,0,0
20220101222419,1,74,19,1,0,0,0
20220101222469,1,43,18,1,0,0,0
20220101222469,2,36,20,2,0,0,0
20220101222474,1,24,18,1,0,0,0
